month,member_casual,total_rides
2024-05,casual,230327
2024-05,member,378245
2024-06,casual,300153
2024-06,member,409400
2024-07,casual,319560
2024-07,member,428278
2024-08,casual,317542
2024-08,member,437259
2024-09,casual,345854
2024-09,member,474282
2024-10,member,399755
2024-10,casual,215933
2024-11,casual,92824
2024-11,member,241910
2024-12,casual,38300
2024-12,member,139976
2025-01,casual,24076
2025-01,member,114506
2025-02,casual,27709
2025-02,member,124123
2025-03,casual,85662
2025-03,member,212226
2025-04,member,262096
2025-04,casual,108971
2025-05,casual,182147
2025-05,member,319709
